s_id,lastname,firstname,birthyear,sex,nationality,last_club,pb,results
4295925,DE SCHUTTER,Jolien,1998,F,BEL,Zwemclub Brabo Antwerpen,59.94,t
4063730,BUYS,Kimberly,1989,F,BEL,Zwemclub Brabo Antwerpen,53.57,t
4804604,DE MARE,Annelies,1990,F,BEL,Zwemclub Brabo Antwerpen,54.22,t
4170691,VAN KOECKHOVEN,Nina,1983,F,BEL,Meetjesland-Gent Alliantie Zwemteam,54.24,t
4485468,DUMONT,Juliette,2000,F,BEL,Perron,54.29,t
4917614,VANHAUWAERT,Lotte,2004,F,BEL,Royal Ostend Swimming Club,54.34,t
5138017,VERDONCK,Fleur,2006,F,BEL,Nijlense Zwemclub,54.44,t
4073169,VAVOURAKIS,Emily,1989,F,BEL,Zwemclub Geel,54.68,t
4805250,SYSMANS,Jolien,1992,F,BEL,Zwemclub Brabo Antwerpen,54.83,t
4043320,BOSSUYT,Tine,1980,F,BEL,Belgium,54.85,t
5156703,DUREZ,Laure,2006,F,BEL,Entente Des Nageurs Louvierois Natation,55.12,t
4725891,VAN NIEUWENHOVE,Laurien,1999,F,BEL,Meetjesland-Gent Alliantie Zwemteam,1:00.03,t
4304822,COOLS,Melanie,1998,F,BEL,Temse Schelde Zwemmers,1:00.19,t
4059416,AERENTS,Jorina,1990,F,BEL,Zwemclub S.O.S.,55.15,t
4828406,CASINI,Juliette,1997,F,BEL,Cercle De Natation Sportcity W,55.24,t
4632528,GASPARD,Florine,2001,F,BEL,Club De Natation Bastogne,55.27,t
4305495,EECKHOUT,Linde,1993,F,BEL,Meetjesland-Gent Alliantie Zwemteam,55.28,t
4805303,VAN DEN BRANDEN,Sascha,1989,F,BEL,Meetjesland-Gent Alliantie Zwemteam,55.34,t
4398755,GORIS,Lotte,2000,F,BEL,Zwemclub Brabo Antwerpen,55.37,t
4620600,SMITS,Jade,2001,F,BEL,Zwemclub Brabo Antwerpen,55.43,t
4804477,VERHAEGEN,Jasmijn,1993,F,BEL,Zwemclub Brabo Antwerpen,55.67,t
4306638,MOSSELMANS,Ilvy,1980,F,BEL,Cercle Royal De Natation De Br,55.88,t
4819706,VANDENBUSSCHE,Indra,2002,F,BEL,Koninklijke Brugse Zwem- & Red,55.89,t
4074859,WEGRIA,Sarah,1993,F,BEL,Liege Natation,56.03,t
