"s_id","lastname","firstname","birthyear","sex","nationality","last_club","pb","results"
"4804575","TIMMERS","Pieter",1988,"M","BEL","Zwemclub Brabo Antwerpen","46.54",False
"4073171","SURGELOOSE","Glenn",1989,"M","BEL","Zwemclub Brabo Antwerpen","47.21",False
"4804871","VANLUCHENE","Emmanuel",1992,"M","BEL","Gold Swimming Team","47.21",False
"4074321","AERENTS","Jasper",1992,"M","BEL","Koninklijke Brugse Zwem- & Red","47.24",False
"4796629","DE MEULEMEESTER","Sebastien",1998,"M","BEL","Zwemclub Brabo Antwerpen","47.51",False
"4804458","DEKONINCK","Dieter",1991,"M","BEL","Zwemclub Brabo Antwerpen","47.91",False
"4340386","THIJS","Thomas",1997,"M","BEL","Zwemclub Geel","47.96",False
"4074838","SYSTERMANS","Pholien",1990,"M","BEL","Liege Mosan","48.01",False
"4039027","GRANDJEAN","Yoris",1989,"M","BEL","Liege Natation","48.03",False
"4074831","HEERSBRANDT","Francois",1989,"M","BEL","Cercle De Natation Sportcity W","48.08",False
"4074507","CROENEN","Louis",1994,"M","BEL","Shark","48.27",False
"4367906","MARCOURT","Alexandre",1999,"M","BEL","Tiense Regio United Swimming Team","48.33",False
"4741068","EMO","Jerome",2000,"M","BEL","Herstal Natation","48.44",False
"4804382","POELS","Corentin",1987,"M","BEL","Cercle De Natation Sportcity W","48.48",False
"4405999","HENVEAUX","Lucas",2000,"M","BEL","Liege Natation","48.65",False
"4307831","VANGOETSENHOVEN","Dries",1997,"M","BEL","Zwemclub Brabo Antwerpen","48.80",False
"4295864","DEOLET","Timothy",1995,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","49.04",False
"5314511","VERSCHOOTEN","Leo",2006,"M","BEL","Belgium","49.04",False
"4394937","BORISAVLJEVIC","Alexis",1997,"M","BEL","Leuven Aquatics","49.06",False
"4754026","DE SMEDT","Jesse",2000,"M","BEL","Zwemclub Brabo Antwerpen","49.07",False
"4921109","FRANCKX","Stan",2002,"M","BEL","Tiense Regio United Swimming Team","49.12",False
"4047263","WOUTERS","Thierry",1979,"M","BEL","Belgium","49.14",False
"4255114","WEIREMANS","Lorenz",1996,"M","BEL","Zwemclub Brabo Antwerpen","49.19",False
"4805380","DEPYPERE","Stijn",1991,"M","BEL","Zwemclub Brabo Antwerpen","49.20",False
"4062175","ROMANINI","Pierre-Yves",1985,"M","BEL","Liege Natation","49.28",False
"4305653","GERVAIS","Lucas",1996,"M","BEL","Cercle Royal De Natation De Br","49.30",False
"4827265","MEEUS","Elias",2003,"M","BEL","Zwemclub Brabo Antwerpen","49.40",False
"4805116","DEKONINCK","Marnik",1993,"M","BEL","Zwemclub Brabo Antwerpen","49.45",False
"4029092","DREESEN","Renaat",1980,"M","BEL","Belgium","49.63",False
"4074365","VANDEVELDE","Axel",1991,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","49.70",False
"4804710","DELVOIE","Cedric",1992,"M","BEL","Ecole Seraing Natation","49.72",False
"4074868","DE WILDE","Gilles",1990,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","49.84",False
"4922787","LEROUX","Jef",2002,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","49.92",False
"4804485","DE GEETER","Matthias",1991,"M","BEL","Koninklijke Brugse Zwem- & Red","50.03",False
"4299624","HOPCHET","Maxandre",1995,"M","BEL","Les Cormorans Farciennois","50.12",False
"5210516","VERRETH","Noah",2005,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","50.12",False
"4439538","HEUNINCK","Maarten",2000,"M","BEL","First (Flanders Inter Regio Sw","50.16",False
"4804462","HELDERWEIRT","Sander",1991,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","50.19",False
"4393639","RUELLE","Thibault",2000,"M","BEL","Castor Club De Mons","50.19",False
"4037319","GORIS","Wim",1984,"M","BEL","Zwemclub Brabo Antwerpen","50.20",False
"4805220","ANDRIEN","Maxime",1994,"M","BEL","Ecole Seraing Natation","50.26",False
"4563579","MARTENS","Noah",2000,"M","BEL","Zwemclub Brabo Antwerpen","50.26",False
"4037423","TIEGHEM","Kristof",1978,"M","BEL","Koninklijke Kortrijkse Zwemkri","50.32",False
"4394938","BORISAVLJEVIC","Valentin",1997,"M","BEL","Leuven Aquatics","50.33",False
"4295855","LAFORT","Iarre",1993,"M","BEL","First (Flanders Inter Regio Sw","50.45",False
"5092538","MABBE","Elian",2004,"M","BEL","Ursus Zwemklub Zwevegem","50.45",False
"4852852","HEBB","Xander",2003,"M","BEL","Royal Ostend Swimming Club","50.52",False
"4804893","LECOUTERE","Jeroen",1987,"M","BEL","Brabant East Swimming Team","50.54",False
"4139943","ZERAIDI","Issam",1992,"M","BEL","Cercle Royal De Natation De Br","50.59",False
"4074285","CORTENS","Ken",1993,"M","BEL","Swimming Team Tienen","50.67",False
"4393757","FRIPPIAT","Florian",1998,"M","BEL","Natation Club Athus","50.68",False
"4309070","TRAP","Alexander",1997,"M","BEL","Zwemclub Brabo Antwerpen","50.69",False
"5169413","LAMMENS","Seppe",2007,"M","BEL","Ursus Zwemklub Zwevegem","50.72",False
"4433318","SWILLEN","Timon",2000,"M","BEL","Tiense Zwemmers","50.74",False
"4691254","SEPYPERE","Stijn",1991,"M","BEL","Belgium","50.80",False
"4363352","DE GRAEVE","Birgen",1998,"M","BEL","Leuven Aquatics","50.80",False
"4307855","VANHUYS","Logan",1997,"M","BEL","Royal Dauphins Mouscronnois","50.81",False
"4426665","BRUSTEN","Arthur",1995,"M","BEL","Entente Des Nageurs Louvierois Natation","50.83",False
"4429472","CAMERLYNCK","Tim",1998,"M","BEL","Gold Swimming Team","50.85",False
"5169555","PETRE","Olivier",2006,"M","BEL","Entente Des Nageurs Louvierois Natation","50.90",False
"5002324","TALLOEN","Sander",2005,"M","BEL","First (Flanders Inter Regio Sw","50.92",False
"4828076","WYNS","Seppe",2002,"M","BEL","Nijlense Zwemclub","50.94",False
"4804807","MEIRHAEGHE","Jonas",1991,"M","BEL","Brabant East Swimming Team","50.97",False
"5167320","VAN HOOYDONCK","Vincent",2007,"M","BEL","Zwemclub Brabo Antwerpen","51.01",False
"4340382","VAN LOOY","Quinten",1999,"M","BEL","Shark","51.02",False
"4804636","VAN DER STRAETEN","Egon",1991,"M","BEL","Zwemclub Brabo Antwerpen","51.03",False
"4428563","SURGELOOSE","Owen",1999,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.04",False
"5276804","VAN EGDOM","Wout",2008,"M","BEL","Nijlense Zwemclub","51.06",False
"5190526","VANSIELEGHEM","Killian",2005,"M","BEL","Koninklijke Brugse Zwem- & Red","51.06",False
"5017923","MULKENS","Bavo",2004,"M","BEL","Tiense Regio United Swimming Team","51.09",False
"4827870","VAN ROSSEM","Raf",2000,"M","BEL","Zwemclub Brabo Antwerpen","51.14",False
"4812901","AUSLOOS","Jens",2003,"M","BEL","Koninklijke Aarschotse Zwemclub Schoonhoven","51.16",False
"4565947","BIERBERG","Gregory",1998,"M","BEL","Royal Verviers Natation","51.18",False
"5203206","SPADEA","Tommaso",2008,"M","BEL","Leuven Aquatics","51.18",False
"4074289","HENDRICKX","Lander",1994,"M","BEL","Brabant East Swimming Team","51.20",False
"4299632","DEWULF","Gillian",1996,"M","BEL","Koninklijke Kortrijkse Zwemkri","51.20",False
"4620662","DE WEIRDT","Jan",2000,"M","BEL","Swimming Team Aalter","51.23",False
"4029543","CUYVERS","Ruud",1984,"M","BEL","Molse Zwemclub ""mozka""","51.24",False
"4308630","DEMEULENAERE","Dries",1992,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.24",False
"4304903","DAL","Lucas",1999,"M","BEL","Royal Dauphins Mouscronnois","51.24",False
"4068846","NAVARRE","Charles",1993,"M","BEL","Cercle Royal De Natation De Br","51.25",False
"4052997","VERACHTEN","Stef",1983,"M","BEL","Molse Zwemclub ""mozka""","51.26",False
"4858932","VANHOUCKE","Louka",2002,"M","BEL","Belgium","51.26",False
"4804362","STEVENHEYDENS","Gino",1986,"M","BEL","Zwemclub Brabo Antwerpen","51.27",False
"4929150","VATA","Gjon",2002,"M","BEL","Cercle Royal De Natation De Br","51.28",False
"4576651","LUYTEN","Sjobbe",1998,"M","BEL","Molse Zwemclub ""mozka""","51.29",False
"4794145","VAN HEERS","Yannick",1987,"M","BEL","Swimming Team Tienen","51.36",False
"4393284","ROETE","Jonas",1997,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.36",False
"4972461","VAN KEER","Yoran",2003,"M","BEL","Leuven Aquatics","51.37",False
"4970432","LAUREYSSENS","Daniel",2004,"M","BEL","Zwemclub Schoten","51.38",False
"4038651","FONTEYN","Mathieu",1985,"M","BEL","Koninklijke Brugse Zwem- & Red","51.39",False
"4805294","DE BAETS","Thomas",1989,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.41",False
"4139755","VANDAMME","Lowie",1994,"M","BEL","Koninklijke Brugse Zwem- & Red","51.42",False
"5435647","DRUANT","Andreas",2006,"M","BEL","Bruinvissen Diksmuide","51.44",False
"4805268","POELMANS","Willem",1994,"M","BEL","Koninklijke Hasseltse Zwemvere","51.46",False
"4307551","VAN DEN BROECK","Matthias",1992,"M","BEL","Zwemclub Brabo Antwerpen","51.47",False
"4839464","DE SWERDT","Niels",2007,"M","BEL","Tiense Regio United Swimming Team","51.48",False
"4938131","WEYTS","Milan",2004,"M","BEL","Koninklijke Brugse Zwem- & Red","51.50",False
"4804815","MATTELAER","Mathieu",1991,"M","BEL","Gold Swimming Team","51.51",False
"4427953","HOUSEN","Stef",2000,"M","BEL","Zwemvereniging De Meerkoet Bre","51.51",False
"4439711","VAN REGENMORTEL","Michiel",1994,"M","BEL","Shark","51.52",False
"4812893","CARCHON","Brecht",2003,"M","BEL","Leuven Aquatics","51.53",False
"4804391","ROBBE","Michael",1985,"M","BEL","Gold Swimming Team","51.57",False
"5046657","KALOGEROPOULOS","Zeno",2004,"M","BEL","Zwemclub Brabo Antwerpen","51.57",False
"4074504","BRYDENBACH","Hans",1987,"M","BEL","Shark","51.59",False
"4074687","VERPLANKEN","Jesper",1987,"M","BEL","Zwemclub Tremelo","51.60",False
"4805377","VANDEVELDE","Raf",1993,"M","BEL","Swimming Team Tienen","51.62",False
"4564607","VANDERSYPEN","Vincent",1999,"M","BEL","Zwemclub Brabo Antwerpen","51.62",False
"5092546","VAN CLEVEN","Thijs",2005,"M","BEL","Koninklijke Brugse Zwem- & Red","51.62",False
"4199952","VAN AUDEKERKE","Nils",1996,"M","BEL","Temse Schelde Zwemmers","51.65",False
"4307374","THIRY","Simon",1998,"M","BEL","Ecole Seraing Natation","51.67",False
"4779088","DOBBELAERE","Bram",1997,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.69",False
"5343763","MAGREMANNE","Matheo",2008,"M","BEL","Waterloo Natation","51.70",False
"4029203","CLAEYS","Bruno",1982,"M","BEL","Koninklijke Brugse Zwem- & Red","51.71",False
"5346003","LAVIOLETTE","Simon",2008,"M","BEL","Swimming Club Rixensart","51.73",False
"4805082","VAN MECHELEN","Ken",1992,"M","BEL","Arendonkse Zwemvereniging","51.74",False
"4219612","AERTS-BANCKEN","Guillaume",1996,"M","BEL","Liege Atlas Swimming Team","51.77",False
"4936597","JANSSENS","Renzo",2002,"M","BEL","Zwemclub Brabo Antwerpen","51.77",False
"4863325","GRONDEL","Charles",2002,"M","BEL","Tiense Regio United Swimming Team","51.77",False
"4085511","KURZAK","Jeremy",1990,"M","BEL","Mons Hainaut Natation","51.79",False
"4306238","LEMMENS","Tuur",1997,"M","BEL","Koninklijke Hasseltse Zwemvere","51.80",False
"4398035","KRUIJTZER","Bram",1997,"M","BEL","Zwemclub Brabo Antwerpen","51.80",False
"4804654","WIELANDT","Pieter",1993,"M","BEL","First (Flanders Inter Regio Sw","51.80",False
"4805328","BONNEL","Nathan",1993,"M","BEL","Braine L'alleud Aqua College","51.82",False
"5105916","SNEYERS","Kobe",2006,"M","BEL","Nijlense Zwemclub","51.82",False
"4620619","DEREZ","Matthias",2000,"M","BEL","Koninklijke Kortrijkse Zwemkri","51.83",False
"5203185","TUYPENS","Emile",2007,"M","BEL","First (Flanders Inter Regio Sw","51.84",False
"4304707","CAERTS","Basten",1997,"M","BEL","De Beringse Tuimelaars","51.87",False
"4352042","MORIAU","Thibault",1999,"M","BEL","Cercle De Natation Sportcity W","51.87",False
"4199973","SPANHOVE","Lars",1996,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.89",False
"4352047","FOURNEAU","Liam",2000,"M","BEL","Castor Club De Mons","51.91",False
"4073178","CATY","Quentin",1988,"M","BEL","Cercle De Natation Sportcity W","51.92",False
"5167359","MEES","Ruben",2006,"M","BEL","Swimming Club Zaventem","51.93",False
"4900525","OHN","Antoine",2002,"M","BEL","Herstal Natation","51.93",False
"4941444","VANSPAUWEN","Alexander",2003,"M","BEL","Koninklijke Hasseltse Zwemvere","51.94",False
"4927405","MEES","Brent",2003,"M","BEL","Swimming Club Zaventem","51.97",False
"4427736","DERYCKE","Jens",1993,"M","BEL","Gold Swimming Team","51.99",False
"4913529","GANTOIS","Olivier",2002,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.00",False
"4140026","LENAERTS","Michael",1991,"M","BEL","Cercle Royal De Natation De Br","52.01",False
"5106643","SAIVE","Antoine",2004,"M","BEL","Liege Natation","52.01",False
"4804414","BAUWENS","Ward",1993,"M","BEL","Zwemclub Brabo Antwerpen","52.05",False
"4074305","BALLIU","Bjorn",1989,"M","BEL","Zwemclub S.O.S.","52.06",False
"4804504","CANON","Thomas",1991,"M","BEL","Mons Hainaut Natation","52.10",False
"4295910","VAN DEN BROECK","Jeroen",1995,"M","BEL","Zwemclub Brabo Antwerpen","52.11",False
"4355425","THIRY","Gaetan",1995,"M","BEL","Koninklijke Hasseltse Zwemvere","52.12",False
"4680479","GULDENTOPS","Kevin",2000,"M","BEL","Temse Schelde Zwemmers","52.12",False
"5365216","BRACKE","Erno",2005,"M","BEL","Zwemclub Brabo Antwerpen","52.12",False
"4255126","BOURLIER","Vincent",1992,"M","BEL","Waterloo Natation","52.16",False
"4742581","DONATI","Alexandre",2001,"M","BEL","Royal Verviers Natation","52.18",False
"4305183","DECOSSAUX","Valentin",1995,"M","BEL","Leuven Aquatics","52.18",False
"4565976","HAEGEMAN","Jonas",1999,"M","BEL","Aalsters Swimming Team","52.20",False
